topic_english;group_english;header_english;caption_english;plot_type
Background Variables;Background Overview;Header Background Overview;Caption Background Overview;
Background Variables;Background Correlation;Header Background Correlation;Caption Background Correlation;
Health Beliefs and Behavior;Subjective Risks;How likely do you think that the following events will happen in the next 2 months? ;Caption Text Here;stacked_barplot
Health Beliefs and Behavior;Vignettes: Risk of Hospitalization;How big do you think the chances are that the following people infected with the coronavirus will have to go to the hospital in the next two months because of the coronavirus?;Caption Text Here;stacked_barplot
Health Beliefs and Behavior;Vignettes: Risk of Death;How big do you think the chances are that the following people infected with the coronavirus will die in the next two months because of the coronavirus?;Caption Text Here;stacked_barplot
Health Beliefs and Behavior;Subjective Effectiveness of Health Behaviors; In your opinion, how effective are the following behaviors for keeping you safe from the coronavirus? ;Caption Text Here;stacked_barplot
Health Beliefs and Behavior;Subjective Effectiveness of Social Distancing;In your opinion, how effective are the following social distancing measures for keeping you safe from the coronavirus? ;Caption Text Here;stacked_barplot
Health Beliefs and Behavior;Social Distancing;Which of these recommendations did you follow during the past week?;Caption Text Here;barplot
Policy;Expected Duration of Restrictions;For how long do you think that the restrictions currently in place will remain in effect?;Caption Text Here;stacked_barplot
Policy;Subjective Effectiveness of Policies;Given the spread of the pandemic today, how effective do you think are the following policy measures (whether they are implemented or not at present)?;Caption Text Here;stacked_barplot
Policy;Support for Policies;Given the spread of the pandemic today, do you disagree or agree with the following policy measures (whether they are currently implemented or not)?;Caption Text Here;stacked_barplot
Policy;Appropriateness of Policy Response;The government has taken measures to prevent infections and has put in place a large package to limit the economic consequences of the coronavirus outbreak. Do you agree with the following statements?;Caption Text Here;stacked_barplot
Policy;Trust in Government;What is your general level of trust in the government and its actions?;Caption Text Here;stacked_barplot
Curfew;Compliance with Curfew;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, would you stay at home?;Caption Text Here;stacked_barplot
Curfew;Expected Compliance of Others;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, how many individuals out of 100 would do so in your opinion?;Caption Text Here;distplot
Curfew;Reasons for Complying with Curfew;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, for what reasons would you stay home?;Caption Text Here;barplot
Curfew;Reasons for Disobeying a Curfew;If the government mandates tomorrow that everybody who does not work in a critical occupation needs to stay home except for basic shopping needs, for what reasons would you not stay home?;Caption Text Here;barplot
Concerns;Health Concerns;When you think about the next four weeks, how concerned are you about the following?;Caption Text Here;stacked_barplot
Concerns;Economic Concerns;When you think about the next four weeks, how concerned are you about the following?;The fear of being unemployed was only elicited from salaried employees who constitute approximately half of the sample.;stacked_barplot
Economic Adjustments;Working Hours;On average, how many hours per week did you work at the workplace and from home in early March (or before the coronavirus affected your work)? And in the past seven days?;Caption Text Here;stacked_barplot
Economic Adjustments;Reasons for Working Less Among Employees;Why are you working less now?;Caption Text Here;barplot
Economic Adjustments;Reasons for Working Not Or Less Among the Self-Employed;Why are you working less or not at the moment?;Caption Text Here;barplot
Economic Adjustments;Childcare Adjustments;How do you deal with closure of school and / or childcare because of the coronavirus?;"Starting on March 20th, all schools and kindergartens were closed.
There is emergency child care provided by the state in case parents work in essential professions (e.g., healthcare worker, positions necessary in meeting operational needs). Otherwise, families have had to rely on friends and/or close relatives for the childcare. ";barplot
Economic Adjustments;Consumption Plans;Do you intend to do the following things in response to the spread of the coronavirus?;Caption Text Here;barplot
Economic Expectations;Employment Among Employees;How likely do you think the following situations will happen in early June?;Caption Text Here;stacked_barplot
Economic Expectations;Employment Among the Self-Employed;How likely do you think the following situations will happen in early June?;Caption Text Here;stacked_barplot
