topic_english;topic_german;group_english;group_german;plot_type;header_english;caption_english;header_german;caption_german
Background Variables;Background Variables;Background Overview;Background Overview;;Header Background Overview;;�berschrift Hintergrund�bersicht;
Health Beliefs and Behavior;Gesundheitsvorstellungen und -verhalten;Subjective Risks;Subjektive Risiken;stacked_barplot;In your opinion, how likely are the following events in the next two months?;;Ihrer Meinung nach, wie wahrscheinlich sind die folgenden Ereignisse in den n�chsten zwei Monaten?;
Health Beliefs and Behavior;Gesundheitsvorstellungen und -verhalten;Vignettes: Risk of Hospitalization;Vignetten: Risiko eines Krankenhausaufenthaltes;stacked_barplot;How big do you think the chances are that the following people infected with the coronavirus will have to go to the hospital because of the coronavirus?;;F�r wie wahrscheinlich halten Sie es, dass folgende mit dem Coronavirus infizierte Personen wegen des Coronavirus ins Krankenhaus m�ssen?;
Health Beliefs and Behavior;Gesundheitsvorstellungen und -verhalten;Vignettes: Risk of Death;Vignetten: Sterberisiko;stacked_barplot;How big do you think the chances are that the following people infected with the coronavirus will die because of the coronavirus?;;F�r wie wahrscheinlich halten Sie es, dass folgende mit dem Coronavirus infizierte Personen am Coronavirus sterben werden?;
Health Beliefs and Behavior;Gesundheitsvorstellungen und -verhalten;Subjective Effectiveness of Health Behaviors;Subjektive Effektivit�t von Gesundheitsverhalten;stacked_barplot;In your opinion, how effective are the following behaviors for keeping you safe from the coronavirus? ;;Ihrer Meinung nach, wie effektiv sind die folgenden Verhaltensweisen, um Sie vor dem Coronavirus zu sch�tzen?;
Health Beliefs and Behavior;Gesundheitsvorstellungen und -verhalten;Subjective Effectiveness of Social Distancing;Subjektive Effektivit�t von sozialer Distanzierung;stacked_barplot;In your opinion, how effective are the following social distancing measures for keeping you safe from the coronavirus? ;During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, maintain 1.5m distance from other people, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.;Ihrer Meinung nach, wie effektiv sind die folgenden Ma�nahmen der sozialen Distanz, um Sie vor dem Coronavirus zu sch�tzen?;In der Zeit, in der die Befragten diesen Fragebogen ausgef�llt haben (20. bis 31. M�rz), hat die Regierung Hochrisikogruppen geraten, �ffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, min. 1,5m Abstand von anderen zu halten, sofern m�glich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen f�r �ltere verboten.
Health Beliefs and Behavior;Gesundheitsvorstellungen und -verhalten;Social Distancing;Soziale Distanzierung;barplot;Which of these recommendations did you follow during the past week?;During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, maintain 1.5m distance from other people, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.;Welchen dieser Empfehlungen sind Sie in den letzten Wochen gefolgt?;In der Zeit, in der die Befragten diesen Fragebogen ausgef�llt haben (20. bis 31. M�rz), hat die Regierung Hochrisikogruppen geraten, �ffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, min. 1,5m Abstand von anderen zu halten, sofern m�glich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen f�r �ltere verboten.
Policy;Politik;Expected Duration of Restrictions;Erwartete Dauer der Einschr�nkungen;stacked_barplot;For how long do you think that the restrictions currently in place will remain in effect?;"April 6 was the current end date of the restrictions (announced on March 15) when respondents were answering this question.
The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.
Respondents were presented this question between March 20 and March 31.";Wie lange denken Sie werden die momentan g�ltigen Einschr�nkungen in Kraft bleiben? ;Das aktuelle Ende der Einschr�nkungen zur Zeit als die Befragten diese Frage beantworteten war der 6. April (bekanntgegeben am 15. M�rz). Die zu dieser Zeit g�ltigen Einschr�nkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schlie�ung aller Schulen (au�er f�r Kinder, deren Eltern in unerl�sslichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, B�der sowie aller sich in Zusammenhang mit Sexualit�t befindlicher Gesch�fte.
Policy;Politik;Subjective Effectiveness of Policies;Subjektive Effektivit�t der Politikma�nahmen;stacked_barplot;Given the spread of the pandemic today, how effective do you think are the following policy measures (whether they are implemented or not at present)?;The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.;Gegeben die heutige Ausbreitung der Pandemie, f�r wie effektiv halten Sie die folgenden Politikma�nahmen (ob sie derzeit umgesetzt werden oder nicht)?;Die zu dieser Zeit g�ltigen Einschr�nkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schlie�ung aller Schulen (au�er f�r Kinder, deren Eltern in unerl�sslichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, B�der sowie aller sich in Zusammenhang mit Sexualit�t befindlicher Gesch�fte.
Policy;Politik;Support for Policies;Unterst�tzung f�r Politikma�nahmen;stacked_barplot;Given the spread of the pandemic today, do you disagree or agree with the following policy measures (whether they are currently implemented or not)?;The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.;Gegeben die heutige Ausbreitung der Pandemie, stimmen Sie folgenden Politikma�nahmen zu oder lehnen Sie sie ab (ob Sie aktuell umgesetzt werden oder nicht)?;Die zu dieser Zeit g�ltigen Einschr�nkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schlie�ung aller Schulen (au�er f�r Kinder, deren Eltern in unerl�sslichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, B�der sowie aller sich in Zusammenhang mit Sexualit�t befindlicher Gesch�fte.
