topic_english;group_english;header_english;caption_english;plot_type;topic_german;group_german;header_german;caption_german
Background Variables;Background Overview;Header Background Overview;;;Hintergrundvariablen;Hintergrundübersicht;Überschrift Hintergrundübersicht;
Background Variables;Background Correlation;Header Background Correlation;;;Hintergrundvariablen;Hintergrundkorrelation;Überschrift Hintergrundkorrelation;
Health Beliefs and Behavior;Subjective Risks;In your opinion, how likely are the following events in the next two months?;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Subjektive Risiken;Ihrer Meinung nach, wie wahrscheinlich sind die folgenden Ereignisse in den nächsten zwei Monaten?;
Health Beliefs and Behavior;Vignettes: Risk of Hospitalization;How big do you think the chances are that the following people infected with the coronavirus will have to go to the hospital because of the coronavirus?;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Vignetten: Risiko eines Krankenhausaufenthaltes;Für wie wahrscheinlich halten Sie es, dass folgende mit dem Coronavirus infizierte Personen wegen des Coronavirus ins Krankenhaus müssen?;
Health Beliefs and Behavior;Vignettes: Risk of Death;How big do you think the chances are that the following people infected with the coronavirus will die because of the coronavirus?;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Vignetten: Sterberisiko;Für wie wahrscheinlich halten Sie es, dass folgende mit dem Coronavirus infizierte Personen am Coronavirus sterben werden?;
Health Beliefs and Behavior;Subjective Effectiveness of Health Behaviors;In your opinion, how effective are the following behaviors for keeping you safe from the coronavirus? ;;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Subjektive Effektivität von Gesundheitsverhalten;Ihrer Meinung nach, wie effektiv sind die folgenden Verhaltensweisen, um Sie vor dem Coronavirus zu schützen?;
Health Beliefs and Behavior;Subjective Effectiveness of Social Distancing;In your opinion, how effective are the following social distancing measures for keeping you safe from the coronavirus? ;During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, maintain 1.5m distance from other people, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.;stacked_barplot;Gesundheitsvorstellungen und -verhalten;Subjektive Effektivität von sozialer Distanz;Ihrer Meinung nach, wie effektiv sind die folgenden Maßnahmen der sozialen Distanz, um Sie vor dem Coronavirus zu schützen?;In der Zeit, in der die Befragten diesen Fragebogen ausgefüllt haben (20. bis 31. März), hat die Regierung Hochrisikogruppen geraten, öffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, min. 1,5m Abstand von anderen zu halten, sofern möglich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen für Ältere verboten.
Health Beliefs and Behavior;Social Distancing;Which of these recommendations did you follow during the past week?;During the time respondents completed this questionnaire (March 20-31) the government had advised high risk groups to avoid public transport. Everyone was advised to avoid high risk groups, maintain 1.5m distance from other people, work from home if possible and stay home if they have symptoms of the flu. The day the first respondents answered the questionnaire, visits to nursing homes and other living arrangements for the elderly were prohibited.;barplot;Gesundheitsvorstellungen und -verhalten;soziale Distanz;Welchen dieser Empfehlungen sind Sie in den letzten Wochen gefolgt?;In der Zeit, in der die Befragten diesen Fragebogen ausgefüllt haben (20. bis 31. März), hat die Regierung Hochrisikogruppen geraten, öffentliche Verkehrsmittel zu meiden. Jedem wurde geraten, Hochrisikogruppen zu meiden, min. 1,5m Abstand von anderen zu halten, sofern möglich, von zu Hause aus zu arbeiten und bei Grippesymptomen zu Hause zu bleiben. Am Tag, an dem die ersten Befragten diese Umfrage bearbeiteten, wurde der Besuch von Pflegeheimen und anderen Lebenseinrichtungen für Ältere verboten.
Policy;Expected Duration of Restrictions;For how long do you think that the restrictions currently in place will remain in effect?;"April 6 was the current end date of the restrictions (announced on March 15) when respondents were answering this question. 
The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.
Respondents were presented this question between March 20 and March 31.";stacked_barplot;Politik;Erwartete Dauer der Einschränkungen;Wie lange denken Sie werden die momentan gültigen Einschränkungen in Kraft bleiben? ;Das aktuelle Ende der Einschränkungen zur Zeit als die Befragten diese Frage beantworteten war der 6. April (bekanntgegeben am 15. März). Die zu dieser Zeit gültigen Einschränkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schließung aller Schulen (außer für Kinder, deren Eltern in unerlässlichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, Bäder sowie aller sich in Zusammenhang mit Sexualität befindlicher Geschäfte.
Policy;Subjective Effectiveness of Policies;Given the spread of the pandemic today, how effective do you think are the following policy measures (whether they are implemented or not at present)?;The restrictions at the time included the prohibition of events with over 100 people and the closure of all schools (except for children with parents in vital professions), catering, bars, coffee shops, gyms, sport clubs, saunas, spas and sex related businesses.;stacked_barplot;Politik;Subjektive Effektivität der Politikmaßnahmen;Gegeben die heutige Ausbreitung der Pandemie, für wie effektiv halten Sie die folgenden Politikmaßnahmen (ob sie derzeit umgesetzt werden oder nicht)?;Die zu dieser Zeit gültigen Einschränkungen beinhalteten das Verbot von Veranstaltungen mit mehr als 100 Teilnehmern, die Schließung aller Schulen (außer für Kinder, deren Eltern in unerlässlichen Berufen arbeiten), Gastronomie, Bars, Coffeeshops, Fitnessstudios, Sportvereine, Saunas, Bäder sowie aller sich in Zusammenhang mit Sexualität befindlicher Geschäfte.
